Назва продукту,Опис,Gustav (OG),Міцність (ABV),Гіркота (IBU),Google Shopping ID,Посилання
"Пиво Опілля Фірмове 0,5 л (скло)","Справжній діамант серед пивних шедеврів. Densidade вражає, аромат спокушає. Смак нагадує благородне вино витримане й насичене.",16%,6.5%,21,cmclpwc1x005qstlk16k7cazz,https://opillia.com.ua/product/pivo-opillya-firmove-05l-sklo
"Пиво Опілля Безалкогольне 0,5 л (скло)",Живе пиво зі збереженою душею напою без алкоголю. Технологія призупиненого бродіння. Природний смак і дух пивної традиції.,-,< 0.5%,-,cmclpwc1x005qstlk16k7cazz,https://opillia.com.ua/product/pivo-opillya-bezalkogolne-05l
"Пиво Опілля Біле 0,5 л (скло)",Ароматна ода легкості та витонченості. Нефільтроване пиво з ніжним смаком пшеничного солоду. Фруктові відтінки з ароматами коріандру.,11%,4.0%,12,cmclpwfwv005xstlkoatofrp8,https://opillia.com.ua/product/pivo-opillya-bile-05l-sklo
Сидр Опілля,Втілення природної легкості та чистоти. Результат повільного справжнього бродіння соковитого яблучного нектару без домішки спирту.,-,5.0%,-,cmclpx1qt009mstlk8dkm6c0v,https://opillia.com.ua/product/sidr-opillya
Солодовий напій Лимон,Природна альтернатива звичним солодким напоям. Ковток прохолоди в спекотний день. Легкі калорії завдяки стевії натуральному підсолоджувачу.,-,-,-,cmclpx1qt009mstlk8dkm6c0v,https://opillia.com.ua/product/solodoviy-napij-limon
Солодовий напій Жовта малина,Смакуй природну альтернативу штучним ласощам. Смак безтурботного літа відпочинку та ніжної насолоди. Жовта малина природно солодша.,-,-,-,cmclpx1qt009mstlk8dkm6c0v,https://opillia.com.ua/product/solodoviy-napij-zholta-malina
Солодовий напій Апельсин,Природна альтернатива звичним солодким напоям. Яскраво сонячний смак знайомий з дитинства. Класика люблена у всьому світі.,-,-,-,cmclpx1qt009mstlk8dkm6c0v,https://opillia.com.ua/product/solodoviy-napij-apelsin
Квас Опілля Чорний,Справжній темний квас витканий з глибини житнього солоду. Насичений аромат відтінки карамелі й духмяність. Живе бродіння.,-,-,-,cmgt7od2v0002nv40830k6xk2,https://opillia.com.ua/product/kvas-opillya-chorniy
Квас Опілля Білий,Істинно світлий квас народжений живим бродінням ячмінного солоду. Смак ніжне поєднання солодових нот з легкою освіжаючою кислинкою.,-,-,-,cmgt7od2v0002nv40830k6xk2,https://opillia.com.ua/product/kvas-opillya-biliy
Квас Опілля Домашній,Темний житній живий. Дихає традицією. Аромат нагадує про свіжоспечений хліб. Смак повертає до спокійних домашніх вечорів.,-,-,-,cmgt7od2v0002nv40830k6xk2,https://opillia.com.ua/product/kvas-opillya-domashnij
Сидр Епс Яблуко,Класичний легкий яблучний сидр із виразним фруктовим ароматом. М'яким солодуватим смаком. На основі натурального яблучного соку.,-,5.5%,-,cmclpx1qt009mstlk8dkm6c0v,https://opillia.com.ua/product/sidr-eps-yabluko
Сидр Мандарин,Фруктовий сидр із яскравим цитрусовим характером. Поєднуються солодкість стиглого мандарина та легка кислинка яблучного напою.,-,-,-,cmclpx1qt009mstlk8dkm6c0v,https://opillia.com.ua/product/sidr-mandarin
Сидр Панна Фрагоя,Ягідний сидр з виразним полуничним характером. Поєднуються свіжий яблучний базовий смак та яскраві ноти стиглої полуниці.,-,-,-,cmclpx1qt009mstlk8dkm6c0v,https://opillia.com.ua/product/sidr-panna-fragoya
Volfas Engelman Galaxy Lager,Фільтроване світле пиво з Литви. Подих тропіків. Хміль Galaxy дарує екзотичні ноти манго маракуї та легку хвилю гіркуватості.,13.5%,5%,25,cmclpx2rt009nstlk9elm7d1w,https://opillia.com.ua/product/volfas-engelman-galaxy-lager
Volfas Engelman Baltic Porter,Єдиний у світі портер низового шумування. Колір темне червоне дерево. Тіло густе кремове. Душа солодка карамель з ніжним дотиком гіркоти.,18.5%,6%,30,cmclpx2rt009nstlk9elm7d1w,https://opillia.com.ua/product/volfas-engelman-baltic-porter
Volfas Engelman Neipa,Ароматний вибух хмелю переплетений із тропічними плодами динею та цитрусами. Соковитість розкривається поруч із насиченими стравами.,13%,5.5%,40,cmclpx2rt009nstlk9elm7d1w,https://opillia.com.ua/product/volfas-engelman-neipa
Volfas Engelman 1410,Лагідний лагер кольору топленого золота. Біла піна наче легка хмара над літнім полем. Смак збалансований з ніжною хмелевою гірчинкою.,12.5%,5.3%,20,cmclpx2rt009nstlk9elm7d1w,https://opillia.com.ua/product/volfas-engelman-1410
Volfas Engelman Tradiciskas,Традиційне литовське пиво з давніх рецептів. Густе солодкувате з добірною хмільною гіркуватістю. Створене для дружніх зустрічей.,13%,6%,20,cmclpx2rt009nstlk9elm7d1w,https://opillia.com.ua/product/volfas-engelman-tradiciskas
Volfas Engelman Balta Pinta,Пшеничне пиво в німецькому стилі. Зварене за методом Kräusening. Фруктова свіжість і рясна шовкова піна. Смак легкий з цитрусовою кислинкою.,12.5%,5%,10,cmclpx2rt009nstlk9elm7d1w,https://opillia.com.ua/product/volfas-engelman-balta-pinta
Volfas Engelman Kriek,Рубіновий напій де традиції пивоваріння зливаються з соковитістю вишні. Аромат щойно зірвані ягоди з нотами мигдалю.,14%,4%,6,cmclpx2rt009nstlk9elm7d1w,https://opillia.com.ua/product/volfas-engelman-kriek
Volfas Engelman Bohemijos Dark,Темне литовське пиво що сяє бурштиновим відблиском. М'який карамельний смак обрамлений фруктовими тонами. Післясмак довгий солодкий.,12.5%,4.2%,18,cmclpx2rt009nstlk9elm7d1w,https://opillia.com.ua/product/volfas-engelman-bohemijos-dark
Volfas Engelman BLOND,Пшеничне пиво у стилі вітбір за бельгійськими традиціями. Додавання коріандру та апельсинової цедри. Феєрія цитрусів спецій і сонячної свіжості.,12.5%,4.5%,18,cmclpx2rt009nstlk9elm7d1w,https://opillia.com.ua/product/volfas-engelman-blond
Volfas Engelman APA,Витончений зразок світлого фільтрованого елю American Pale Ale. Колір розтоплене золото. Аромат насичений яскравий з тропічними фруктами.,13.5%,5%,35,cmclpx2rt009nstlk9elm7d1w,https://opillia.com.ua/product/volfas-engelman-apa
Volfas Engelman BLANC,Втілення бельгійської пивоварної традиції. Яскравий цитрусовий аромат. Витончена рівновага смаку. Ніжна гіркота підкреслює фруктові ноти.,12.5%,5%,10,cmclpx2rt009nstlk9elm7d1w,https://opillia.com.ua/product/volfas-engelman-blanc
Volfas Engelman IPA,Світле фільтроване пиво American IPA. Вражає насиченим фруктово-квітковим ароматом. Яскрава хмелева гіркуватість.,14.5%,6%,50,cmclpx2rt009nstlk9elm7d1w,https://opillia.com.ua/product/volfas-engelman-ipa
Volfas Engelman Mango Milkshake Pale Ale,Ніжний ель верхового бродіння збагачений натуральним соком манго. Ячмінний Pilsner пшеничний і карамельний солод. Щільне оксамитове тіло.,14.5%,5.6%,35,cmclpx2rt009nstlk9elm7d1w,https://opillia.com.ua/product/volfas-engelman-mango-milkshake
DAB Dortmunder Export,Класика німецького пивоваріння сяє яскраво жовтим кольором. Біла пінна корона. Щедрий насичений смак з ніжною гіркуватістю.,11.8%,5%,23,cmclpx3su009ostlkafnm8e2x,https://opillia.com.ua/product/dab-dortmunder-export
DAB Wheat Beer,Світле пшеничне нефільтроване пиво за канонічним німецьким рецептом. М'який але багатошаровий смаковий профіль. Солодовий фундамент з фруктовими відтінками.,12.5%,4.8%,15,cmclpx3su009ostlkafnm8e2x,https://opillia.com.ua/product/dab-wheat-beer
Budweiser Budvar,Втілення елегантності та поваги до справжнього пивного мистецтва. Репутація з чистоти складників артезіанська вода добірний ячмінь хміль.,11.9%,5%,32,cmclpx3su009ostlkafnm8e2x,https://opillia.com.ua/product/budweiser-budvar
Hollandia Strong,Потужний насичений лагер для тих хто шукає справжній характер. З відбірного ячмінного солоду та шляхетного хмелю. Щільне тіло й рішучий смак.,16%,7.5%,25,cmclpx3su009ostlkafnm8e2x,https://opillia.com.ua/product/hollandia-strong
Bavaria Premium Beer,Подорож у часі що бере початок у 1680 році. Сімейна пивоварня сім поколінь. Поєднує досвід минулого з технологіями сьогодення.,12.5%,5%,15,cmclpx3su009ostlkafnm8e2x,https://opillia.com.ua/product/bavaria-premium-beer
Faxe Premium,Еталонний данський лагер освітлений до сяйва бурштину. Вишукано м'яка текстура як оксамит. Свіжоспечений хліб й карамелізований солод.,12%,4.9%,20,cmclpx3su009ostlkafnm8e2x,https://opillia.com.ua/product/faxe-premium
IPA Черкаська Баварія,Індійський пейл-ель мов подорож крізь хвойний ліс після дощу. Смак багатошаровий глибокий з цитрусовою свіжістю.,15%,6.0%,20,cmclpx3su009ostlkafnm8e2x,https://opillia.com.ua/product/ipa-cherkaska-bavaria
М'ясо куряче в'ялене чипси,Тонкі делікатно висушені смужки курячого філе просякнуті пікантними спеціями та натяком гостроти. Ароматна закуска з ніжною солоністю і солодкою пряністю.,-,-,-,cmclpx4tv009pstlkbgon9f3y,https://opillia.com.ua/product/myaso-kuryache-vyalene-chipsi
Рибна закуска Янтарна з перцем,Палкий делікатес що вартий уваги як акомпанемент до пива. Смак спалахує як жаринка. Гоструватий насичений та справжній.,-,-,-,cmclpx4tv009pstlkbgon9f3y,https://opillia.com.ua/product/ribna-zakuska-yantarna-z-pertcem
Риба плотва почищена Тарань азовська,Одна з найулюбленіших закусок поціновувачів пива. М'яке соковите м'ясо з ніжною жирністю та насиченим присмаком моря. Ідеально гармонує з класичними сортами пива.,-,-,-,cmclpx4tv009pstlkbgon9f3y,https://opillia.com.ua/product/riba-plotva-taran
Густера в'ялена,Риба за формою як ляща але з власним характером. Помірно жирна солонувата з легким ароматом річкової свіжості. Чудовий акомпанемент до світлих лагарів.,-,-,-,cmclpx4tv009pstlkbgon9f3y,https://opillia.com.ua/product/guslera-vyalena
Палички Ікряні з м'яса лосося,Снек з виразним глибоким смаком моря. За особливим рецептом з пресованого м'яса та ікри лосося. Щільна пружна текстура.,-,-,-,cmclpx4tv009pstlkbgon9f3y,https://opillia.com.ua/product/palychky-ikryani-lososa
Риба Ставридка сушена,Справжня знахідка для гурманів. З великої свіжої риби що проходить ретельне соління та сушіння. Зберігає м'ясисту структуру і природну соковитість.,-,-,-,cmclpx4tv009pstlkbgon9f3y,https://opillia.com.ua/product/riba-stavridka-sushena
Риба анчоус солено-сушений,Втілення досконалої рибної закуски. Виразний солонуватий смак пробуджує апетит. Чудово до пива й інших напоїв. Багато білка мінімум вуглеводів.,-,-,-,cmclpx4tv009pstlkbgon9f3y,https://opillia.com.ua/product/riba-anchos-soleno-sushenyj
Икра тріски,Не така розкішна але почесне місце серед морських делікатесів. Високий вміст омега-3 жирних кислот цинку йоду калію фосфору натрію й кальцію.,-,-,-,cmclpx4tv009pstlkbgon9f3y,https://opillia.com.ua/product/ikra-triski
Икра мінтая,В'ялена ікра мінтаю спресована у брусочки. Делікатес з характером. Смак ніжно солодкувато солоний з тонкою гіркинкою.,-,-,-,cmclpx4tv009pstlkbgon9f3y,https://opillia.com.ua/product/ikra-mintaya
Кальмар сушений Перуанський,Волокнисте м'ясо кальмара насичене білком і обсмажене на арахісовій олії. Особливий солодкуватий присмак з ледь вловимим димним відтінком.,-,-,-,cmclpx5uw009qstlkchpo0g4z,https://opillia.com.ua/product/kalmar-sushenyj-peruanskij
Кальмар сушений Кільця,М'які солодко солоні кільця кальмара з ароматом легкого копчення. Зберігають природну ніжність текстури. Підкреслюють смак світлого пива.,-,-,-,cmclpx5uw009qstlkchpo0g4z,https://opillia.com.ua/product/kalmar-sushenyj-kiltsya
Кальмар сушений Стружка,Класика знайома кожному любителю пива. Легкі волокна сушеного кальмара насичені ароматом моря. Неповторне поєднання простоти й смаку.,-,-,-,cmclpx5uw009qstlkchpo0g4z,https://opillia.com.ua/product/kalmar-sushenyj-strujka
Кальмар сушений з кунжутом,Витончений снек що поєднує м'якість кальмара аромат обсмаженого кунжуту та гостроту соусу. Пікантний смак ідеально гармонує з більшістю сортів пива.,-,-,-,cmclpx5uw009qstlkchpo0g4z,https://opillia.com.ua/product/kalmar-sushenyj-kunzhudom
Кальмар Павутинка сушений з перцем,Ніжний ситний й водночас виразний снек. З цілої сушеної тушки кальмара розділеної на тонкі смужки. Гоструватий смак й пружна текстура.,-,-,-,cmclpx5uw009qstlkchpo0g4z,https://opillia.com.ua/product/kalmar-pavutynka-pertcem
Сир розсільний Сулугуні,Смак гармонійне поєднання чистоти й кисломолочної ніжності. М'яка солоність та витончений димний відтінок. Структура пластична що розшаровується.,-,-,-,cmclpx6vx009rstlkdiqa1h5a,https://opillia.com.ua/product/sir-rozsalniy-suluguni
Сир розсільний копчений Плетінка,Дзеркало чистоти та традиції легка кисломолочна свіжість збалансована деліктною солоністю. Приємна копчена нотка. Розділяється на тонкі гнучкі волокна.,-,-,-,cmclpx6vx009rstlkdiqa1h5a,https://opillia.com.ua/product/sir-rozsalniy-kopcheniy-pletinka
Арахіс смажений солоний,Справжня класика пивних насолод. Насичений аромат та м'яка солоність. Чудово гармонує зі світлими й темними сортами пива. Хрускіт моментально втамовує голод.,-,-,-,cmclpx7wy009sstlkejqb2i6b,https://opillia.com.ua/product/arahis-smazhenyj-solonyj
Арахіс зі смаком сиру,Смажений ніжно солоний арахіс сповнений сирного аромату. Насолода кожним хрустким укусом. Доступна поживна універсальна закуска.,-,-,-,cmclpx7wy009sstlkejqb2i6b,https://opillia.com.ua/product/arahis-sirom
Кукурудза зі смаком сиру смажена,Традиційна східна ласощі легка хрустка мов ранковий вітер у полі. Ніжний смак як попкорн що розтанув під сирним ароматом.,-,-,-,cmclpx7wy009sstlkejqb2i6b,https://opillia.com.ua/product/kukurudza-syrom-smazhena
Горіх фісташка смажений солоний,Фісташки розкіш природи у найкращому прояві. Вишукані на смак й сповнені користі. Вітамін Е дарує молодість а мікроелементи зміцнюють.,-,-,-,cmclpx7wy009sstlkejqb2i6b,https://opillia.com.ua/product/gorih-fistaslka-solonyj
Кукурудза смажена зі смаком меду та гірчиці,Хрустка насолода з обсмажених зерен кукурудзи. Симбіоз попкорну та горішків. Солодкувато пряний де мед і гірчиця переплітаються.,-,-,-,cmclpx7wy009sstlkejqb2i6b,https://opillia.com.ua/product/kukurudza-med-gircica
Насіння соняшника смажене солоне Сан Санич,Добірне велике насіння обсмажене з любов'ю та турботою. Миттєво фасується після обсмаження. Свіжим запашним насиченим смаком справжнього домашнього тепла.,-,-,-,cmclpx8xz009tstlkfkrc3j7c,https://opillia.com.ua/product/nasinnya-sonyashnika-san-sanich
Насіння гарбузове смажене солоне Сан Санич,Ретельно відібране насіння великого калібру приготовлене з ніжністю та майстерністю. Свіжоспечене фасується одразу.,-,-,-,cmclpx8xz009tstlkfkrc3j7c,https://opillia.com.ua/product/nasinnya-garbuzove-san-sanich
Грінки житньо пшеничні зі смаком часнику,Запашні духмяні хрусткі грінки з часничком. Смак що єднає покоління. Виготовлені з натуральних інгредієнтів. Завойовують серце з першого укусу.,-,-,-,cmclpx9ya009ustlkgldsd4k8d,https://opillia.com.ua/product/grinky-zhitnyo-chasnyk
Кальмар Premium,Ніжні смужки відбірного кальмара преміум якості делікатно висушені й злегка підсолені. Збереження природного смаку моря. Правильна текстура м'яка й приємно жувальна.,-,-,-,cmclpx5uw009qstlkchpo0g4z,https://opillia.com.ua/product/kalmar-premium
Ігристий брют Просекко,Сухе італійське ігристе вино з білих сортів винограду Глера. Низький вміст цукру висока свіжість дуже деліктний перляж. Солом'яно жовтий колір.,-,-,-,cmclpwfwv005xstlkoatofrp8,https://opillia.com.ua/product/igristiy-bryut-prosekko
